Ativo 1;Ativo 2;Valor-p
RRRP3.SA;ALPA4.SA;0.0
RRRP3.SA;ASAI3.SA;0.0
RRRP3.SA;BBSE3.SA;0.0
RRRP3.SA;BBDC3.SA;0.0
RRRP3.SA;BBDC4.SA;0.0
RRRP3.SA;BRAP4.SA;0.0
RRRP3.SA;BBAS3.SA;0.0
RRRP3.SA;BRFS3.SA;0.0
RRRP3.SA;CRFB3.SA;0.0
RRRP3.SA;CCRO3.SA;0.0
RRRP3.SA;COGN3.SA;0.0
RRRP3.SA;CSAN3.SA;0.0
RRRP3.SA;CMIN3.SA;0.0
RRRP3.SA;ELET6.SA;0.0
RRRP3.SA;EMBR3.SA;0.0
RRRP3.SA;ENEV3.SA;0.0
RRRP3.SA;EGIE3.SA;0.0
RRRP3.SA;EQTL3.SA;0.0
RRRP3.SA;GOLL4.SA;0.0
RRRP3.SA;IRBR3.SA;0.0
RRRP3.SA;ITSA4.SA;0.0
RRRP3.SA;ITUB4.SA;0.0
RRRP3.SA;LWSA3.SA;0.0
RRRP3.SA;LREN3.SA;0.0
RRRP3.SA;MGLU3.SA;0.0
RRRP3.SA;CASH3.SA;0.0
RRRP3.SA;BEEF3.SA;0.0
RRRP3.SA;MULT3.SA;0.0
RRRP3.SA;PRIO3.SA;0.0
RRRP3.SA;RAIZ4.SA;0.0
RRRP3.SA;RDOR3.SA;0.0
RRRP3.SA;SANB11.SA;0.0
RRRP3.SA;SMTO3.SA;0.0
RRRP3.SA;CSNA3.SA;0.0
RRRP3.SA;SLCE3.SA;0.0
RRRP3.SA;TIMS3.SA;0.0
RRRP3.SA;VALE3.SA;0.0
RRRP3.SA;VIIA3.SA;0.0
RRRP3.SA;WEGE3.SA;0.0
RRRP3.SA;YDUQ3.SA;0.0
ALSO3.SA;ARZZ3.SA;0.0
ALSO3.SA;ASAI3.SA;0.0
ALSO3.SA;BBSE3.SA;0.0
ALSO3.SA;BBDC3.SA;0.0
ALSO3.SA;BBDC4.SA;0.0
ALSO3.SA;BRAP4.SA;0.0
ALSO3.SA;BBAS3.SA;0.0
ALSO3.SA;BRFS3.SA;0.0
ALSO3.SA;CRFB3.SA;0.0
ALSO3.SA;COGN3.SA;0.0
ALSO3.SA;CMIN3.SA;0.0
ALSO3.SA;CYRE3.SA;0.0
ALSO3.SA;ELET3.SA;0.0
ALSO3.SA;ELET6.SA;0.0
ALSO3.SA;ENEV3.SA;0.0
